id,title,year,make,model,display_title,description_first_line
32396e4e-cf1c-4c46-bdf2-98b85c250a91,SI-2025-00060,,,,No Vehicle Specified,Vehicle: 2025 Mazda CX-30
4eac747e-657a-429c-8b84-3a6de966a1fa,SI-2025-00100,,,,No Vehicle Specified,Vehicle: 2025 Ford Escape
e4f69790-3179-4f59-8d6e-4d2011fc81ae,SI-2025-00017,,,,No Vehicle Specified,Vehicle: 2025 BMW X5
a7cd2ee8-92f1-4146-88a0-f6489f16f55c,SI-2025-00015,,,,No Vehicle Specified,Vehicle: 2025 lexus RX350
2c48bcb7-f098-460f-bf84-5cd5d0716b74,SI-2025-00025,,,,No Vehicle Specified,Vehicle: 2017 Toyota Prius
46ddfdc7-0ceb-425b-a9ec-c12cd6cd6d02,SI-2025-00011,2024,Nissan,Frontier,2024 Nissan Frontier,Vehicle: 2024 Nissan Frontier
053e4de4-4087-4dbe-a6d4-51ddaa42b121,SI-2025-00022,,,,No Vehicle Specified,Vehicle: 2024 BMW X3
79b6c082-7e3b-4ab4-9343-9c1a12721bb7,SI-2025-00002,2025,BMW,X5,2025 BMW X5,please also look for headiner SI in part of the LKA calibration 
4875ce90-fbe1-46d6-bf0b-e9745a166ddd,SI-2025-00001,2013,Mazda,CX-9,2013 Mazda CX-9,"Good morning, beautiful people. Could someone help me get blind spot si for a 2013 mazda cx 9 please"
b920d5a6-759e-40f9-a98a-76871a001638,SI-2025-00003,2024,Acura,Integra,2024 Acura Integra,test
a1c534fc-6a83-44dc-873c-a908dab2b759,SI-2025-00007,,,,No Vehicle Specified,Vehicle: 2025 Toyota Corolla
aa9df571-779c-4f79-9227-404a9e64bc62,SI-2025-00005,,,,No Vehicle Specified,Vehicle: 2025 Toyota Corolla
b6d16e08-2626-4ce3-b4d6-9a1c5d4acbc8,SI-2025-00005,2012,Honda,Civic,2012 Honda Civic,Tech in search of documentation that states Honda does not allow for airbag component wire splicing or repair of any kind
7febf9ac-60a1-435d-be69-560c8a9df2a9,SI-2025-00006,,,,No Vehicle Specified,Vehicle: 2025 Land Rover range Rover
065d8593-f9a3-427a-897d-e5f13dbb5248,SI-2025-00008,,,,No Vehicle Specified,Vehicle: 2025 Genesis GV70
fc867257-fcb3-469a-bad9-085e24ceb9de,SI-2025-00009,,,,No Vehicle Specified,Vehicle: 2025 chevy traverse
01c9f71e-2b5b-4b14-811a-d1ef259ced7d,SI-2025-00101,,,,No Vehicle Specified,Vehicle: 2025 Audi A3
9831a9f3-b21d-4140-8b38-cd857ec72e2b,SI-2025-00021,,,,No Vehicle Specified,Vehicle: 2025 Lexus NX250
